font,ma,pinyin
乂,bi,Yì -> i 🈤不取聲母
,bi,
冖,bi,Mì -> i 🈤不取聲母 ㊟俗稱秃寶蓋
,bi,㊟同冖歸併
,bi,㊟同冖歸併 ㊕不做末根
彐,bji,Jì
,bji,
肀,bji,㊟同彐歸併
隶,bi,Lì -> i 🈤不取聲母 🈑逮本字 🈕Dài Yì Dì
立,bli,Lì
辛,bxi,Xīn -> Xi
臣,be,Ĉén -> e 🈤不取聲母
,bi,Yí -> i 🈤不取聲母 ㊟熙左上
,bi,Yí -> i 🈤不取聲母
虫,bo,Ĉóŋ -> o 🈤不取聲母 🈕Huǐ
门,bme,Mén -> Me
丷,ca,Bā -> a 🈤不取聲母
,ca,Cǎo -> a 🈤不取聲母
,ca,㊟同丷歸併 ㊕只作首根
,co,🈤無讀音取o
丌,ci,Jì -> i 🈤不取聲母 🈕Qí
,ci,㊟同丌歸併
己,cji,Jǐ
已,cyi,Yǐ
巳,csi,Sì
,csi,㊟同巳歸併 ㊕不做末根
㔾,cje,Jié -> Je
麻,cma,Má
鹿,clu,Lù
,clu,㊟同鹿歸併 ㊕不做末根
,ci,Sī -> i 🈤不取聲母 ㊟俗稱絞絲旁
,ci,
贝,cbe,Bèi -> Be
页,cye,Yè
金,ci,Jīn -> i 🈤不取聲母
門,cme,Mén -> Me
高,cga,Gāo -> Ga
,cga,㊟同高歸併
,cga,㊟同高歸併
,co,🈤無讀音取o
,co,🈤無讀音取o ㊕不做末根
口,do,Kǒu -> o 🈤不取聲母
〇,do,㊟同口歸併
早,da,Zǎo -> a 🈤不取聲母
目,dmu,Mù
而,de,ér -> e
面,dma,Miàn -> Ma
耳,dje,ěr -> Je 🈤零聲母小碼取J
雨,dyu,Yǔ
曲,dku,Qǔ -> Ku 🈤Q作K
,do,🈤無讀音取o ㊕不做末根
舟,dvo,Ẑōu -> Vo 🈤Z和Ẑ作V
皮,dpi,Pí
斤,dji,Jīn -> Ji
一,fi,Yī -> i 🈤基本筆畫不取聲母 ㊟俗稱横
厂,fa,Ĉǎŋ -> a 🈤不取聲母 🈕Hǎn Yán ān
丆,fa,Hǎn -> a 🈤不取聲母
正,fe,Ẑèŋ -> e 🈤不取聲母
世,fsi,Ŝì -> Si
亥,fha,Hài -> Ha
女,fu,Nǚ -> u 🈤不取聲母
母,fmu,Mǔ
,fo,🈤無讀音取o
,fo,🈤無讀音取o
彑,fji,Jì
,fo,🈤無讀音取o
,fo,🈤無讀音取o
,fo,🈤無讀音取o
,fyi,Yī ㊟俗稱衣字旁
,fo,🈤無讀音取o
,fo,
,fo,🈤無讀音取o
牙,fya,Yá
見,fja,Jiàn -> Ja
頁,fye,Yè
足,fvu,Zú -> Vu 🈤Z和Ẑ作V
鸟,fna,Niǎo -> Na
,fna,
乌,fwu,Wū
丰,ge,Fēŋ -> e 🈤不取聲母
艮,gge,Gěn -> Ge
,gge,㊟同艮歸併
厶,gi,Sī -> i 🈤不取聲母 🈑私本字 🈕Mǒu
幺,gya,Yāo -> Ya 🈕Mì
工,go,Gōŋ -> o 🈤不取聲母
弓,ggo,Gōŋ -> Go
田,gta,Tián -> Ta
由,gyo,Yóu = Yo
申,gse,Ŝēn -> Se
电,gda,Diàn -> Da
鱼,gyu,Yú
气,gki,Qì -> Ki 🈤Q作K
,gu,Fǔ -> f 🈤不取聲母 ㊟俗稱掛耳旁 🈑在左同阜在右同邑
馬,gma,Mǎ
,gma,
丁,hdi,Dīŋ -> d
丅,hdi,㊟同丁歸併 🈑下本字
下,ha,Xià -> a 🈤不取聲母
了,hla,Liǎo -> La 🈕le
子,hvi,Zǐ -> Vi 🈤Z和Ẑ作V
孑,hje,Jié -> je ㊟多根字中都拆作子
予,hu,Yǔ -> u 🈤不取聲母
广,hga,Guǎŋ -> Ga 🈕Yǎn ān
文,hwe,Wén -> We
日,hri,Rì
,hri,㊟同日歸併
,hri,㊟同日歸併
曰,hye,Yuē -> Ye ㊟多根字中除汩抇曶都拆作日
黑,hhe,Hēi -> He
示,hsi,Ŝì -> Si
,hsi,Ŝì -> Si ㊟俗稱示字旁
走,hvo,Zǒu -> Zo 🈤Z和Ẑ作V
身,hse,Ŝēn -> Se
,hi,Jīn -> i 🈤不取聲母 ㊟俗稱金字旁
長,hca,Ĉáŋ -> Ca
镸,hca,Ĉáŋ -> Ca
髟,hba,Biāo -> Ba
隹,hi,Ẑuī -> i 🈤不取聲母 🈕Cuī Wéi
亠,jo,Tóu -> o 🈤不取聲母 ㊟俗稱京字頭
,je,Rén -> e 🈤不取聲母 ㊟俗稱單人旁
入,jru,Rù
,jsi,Ŝi -> Si
風,jfe,Fēŋ -> Fe
凵,ja,Kǎn -> a 🈤不取聲母
丩,ju,Jiū -> u 🈤不取聲母
,ju,
卩,jje,Jié -> Je
,jje,
屮,jca,Cǎo -> Ca
丱,jga,Guān -> Ga
向,jxa,Xiàŋ -> Xa
,jo,🈤無讀音取o
,jo,🈤無讀音取o
夊,jvi,Ẑì -> Vi 🈤Z和Ẑ作V 🈕Pū
攵,jvi,㊟同夂歸併 🈑同攴
寸,jcu,Cùn -> Cu
,jo,🈤無讀音取o
三,jsa,Sān -> Sa
生,je,Ŝēŋ -> e 🈤不取聲母
上,ka,Ŝàŋ -> a 🈤不取聲母
丄,ka,Ŝàŋ -> a 🈤不取聲母 🈑上本字
,ka,㊟同丄歸併
,kwu,Wǔ
丑,kco,Ĉǒu -> Co
丨,ki,Yī -> i 🈤基本筆畫不取聲母 ㊟俗稱豎 🈕Ŝù Gǔn Tuì
〢,ki,
〣,ki,
丿,ke,Piě -> Pe 🈤基本筆畫不取聲母 ㊟俗稱點 🈕Yí
彳,ki,Ĉì -> i 🈤不取聲母 ㊟俗稱雙人旁
彡,ka,Ŝān -> a 🈤不取聲母
,ka,
,ko,🈤無讀音取o ㊕不做末根
亍,kcu,Ĉù
亡,kwa,Wáŋ -> Wa
,klo,Luó -> Lo
几,kji,Jǐ
殳,ku,Ŝǔ -> u 🈤不取聲母
力,kli,Lì
宀,ka,Miǎn -> a 🈤不取聲母 ㊟俗稱寶蓋頭
穴,kxe,Xuè -> Xe
尚,ksa,Ŝàŋ -> Sa
,ksa,㊟同尚歸併
咼,ka,Guǎ -> a 🈤不取聲母
,ka,Guǎ ㊟同咼歸併
骨,kgu,Gǔ
白,kba,Bái -> Ba
,kdi,Duī -> Di
至,kvi,Ẑì -> Vi 🈤Z和Ẑ作V
車,kce,Ĉē
,kce,
,kce,
长,kca,Ĉáŋ -> Ca
矢,ksi,Ŝǐ -> Si
缶,kfo,Fǒu -> Fo
不,lbu,Bù
八,la,Bā -> a 🈤不取聲母
冂,ljo,Jiǒŋ -> Jo
,ljo,
,ljo,
冊,lce,Cè
,lce,
鬥,ldo,Dòu -> Do
十,li,Ŝi -> i 🈤不取聲母
干,lga,Gān -> Ga
千,lka,Qiān -> Ka 🈤Q作K
,lka,
壬,lre,Rén -> Re
手,lso,Ŝǒu -> So
,lso,
毛,lma,Máo -> Ma
古,lgu,Gǔ
舌,lse,Ŝé
未,lwe,Wèi -> We
末,lmo,Mò
户,lhu,Hù
戸,lhu,
戶,lu,Hù -> u 🈤不取聲母
月,le,Yuè -> e 🈤不取聲母
,le,
,le,
夕,lxi,Xī
止,lvi,Ẑǐ -> Vi 🈤Z和Ẑ作V
,lvi,㊟同止歸併
齒,lci,Ĉǐ
甫,lfu,Fǔ
飛,lfe,Fēi -> Fe
,mvo,Zuǒ -> Zo 🈤Z和Ẑ作V 🈑左本字
七,mi,Qī -> i 🈤不取聲母
,mi,㊟同七歸併
弋,myi,Yì -> yi
戈,mge,Gē
戊,mwu,Wù
车,mce,Ĉē
尸,msi,Ŝī -> Si
,msi,㊟同尸歸併
,msi,㊟同尸歸併
心,mxi,Xīn -> Xi
,mi,Xīn -> i 🈤不取聲母 ㊟俗稱豎心旁
方,mfa,Fāŋ -> Fa
爪,ma,Ẑuǎ -> a 🈤不取聲母
瓜,mga,Guā -> Ga
豸,mvi,Ẑì -> Vi 🈤Z和Ẑ作V
癶,mo,Bō -> o 🈤不取聲母
人,ne,rén -> e 🈤不取聲母
合,nhe,Hé
,nhe,
,nhe,
僉,na,Qiān -> a 🈤不取聲母
食,nsi,Ŝí
兀,nwu,Wù
囗,nwe,Wéi 🈑圍本字 ㊟不是口
小,nxa,Xiǎo -> Xa
⺌,nxa,Xiǎo -> Xa 🈑同小
,nxa,
,na,Xiǎo -> a 🈤不取聲母
,na,
自,nvi,Zì -> Vi 🈤Z和Ẑ作V
貝,nbe,Bèi -> Be
竹,nu,Ẑú -> u 🈤不取聲母
,no,🈤無讀音取o
,no,
西,ni,Xī -> i 🈤不取聲母
酉,nyo,Yǒu -> Yo
石,psi,Ŝí
儿,pe,ér -> e
,pe,㊟同儿歸併
,pe,㊟同儿歸併
川,pca,Ĉuān -> Ca
巛,pca,㊟同川歸併
巜,pca,
勹,pa,Bāo -> a 🈤不取聲母
,pa,
,pa,㊟同勹歸併
巴,pa,Bā -> a 🈤不取聲母
火,po,Huǒ -> o 🈤不取聲母
灬,pba,Biāo -> Ba 🈕Hǔo
臼,pu,Jìù -> u 🈤不取聲母
,pu,Jǔ -> u 🈤不取聲母
又,qo,Yòu -> o 🈤不取聲母
,qo,🈤無讀音取o
,qo,
卌,qi,Xì -> i 🈤不取聲母
卅,qi,㊟同卌歸併 🈕Sà
艹,qi,㊟同卌歸併 🈕Cǎo
廾,qi,㊟同卌歸併 🈕Gǒng
,qi,㊟同卌歸併
,qi,㊟同卌歸併
,qi,㊟同卌歸併
其,qki,Qí 🈤Q作K 🈕Jī Jì
丂,rka,Kào -> Ka
,rka,
业,rye,Yè
之,ri,Ẑī -> i 🈤不取聲母
二,rje,èr -> Je 🈤零聲母小碼取J
⺀,rje,㊟同二歸併
,rje,㊟同二歸併
,rje,èr -> Je 🈑同二 🈑冰本字 🈕Bīng
丬,ra,Qiáŋ -> a 🈤不取聲母
疒,rne,Nè ㊟俗稱病字頭
,ri,Yì -> i 🈤不取聲母
來,rla,Lái -> La
卜,rpu,Pū 🈕Bǔ Bo
,rpu,㊟同卜歸併
,ro,🈤無讀音取o
,ro,🈤無讀音取o
虎,rhu,Hǔ
虍,rhu,㊟同虎歸併
,rhu,㊟同虎歸併
鹵,rlu,Lǔ
罒,rwa,Wǎŋ -> Wa
皿,rmi,Mǐn -> Mi
,ro,🈤無讀音取o
羊,rya,Yáŋ -> Ya
,rya,
,rya,
